,A,group,Observed Y,distance,model,run_number
0,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.774610831777059,$X_2$,0
1,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.686305271421529,$X_2$,0
2,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.0512022047963097,$X_2$,0
3,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.706622432123845,$X_2$,0
4,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.8603964140154545,$X_2$,1
5,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.646306225648443,$X_2$,1
6,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.967748659841231,$X_2$,1
7,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.7101979102913263,$X_2$,1
8,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.837839092566143,$X_2$,2
9,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.598475603270248,$X_2$,2
10,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.980740630464861,$X_2$,2
11,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.755379218541093,$X_2$,2
12,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.835386348816079,$X_2$,3
13,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.572479000398443,$X_2$,3
14,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9014024437082613,$X_2$,3
15,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.78056576008897,$X_2$,3
16,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.7418135672786104,$X_2$,4
17,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6555647659466146,$X_2$,4
18,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.937261293172922,$X_2$,4
19,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6714171089583063,$X_2$,4
20,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.774009896670213,$X_2$,5
21,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6611445428050478,$X_2$,5
22,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9798553755430692,$X_2$,5
23,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6627666584298444,$X_2$,5
24,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.8853713786593147,$X_2$,6
25,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.832816439640218,$X_2$,6
26,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.0493883386595746,$X_2$,6
27,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6610331989536684,$X_2$,6
28,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.904030775440867,$X_2$,7
29,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.7106348940620015,$X_2$,7
30,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.187182170715877,$X_2$,7
31,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6148037527903014,$X_2$,7
32,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.8237988604590303,$X_2$,8
33,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.709516427151045,$X_2$,8
34,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9560774207233926,$X_2$,8
35,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.658341391873885,$X_2$,8
36,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.80995342746073,$X_2$,9
37,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.669291467017594,$X_2$,9
38,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.0249944088527263,$X_2$,9
39,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6146252297024146,$X_2$,9
40,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6057528690121545,"$X_1, Z_{A'}$",0
41,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.192621717741156,"$X_1, Z_{A'}$",0
42,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.808467226179279,"$X_1, Z_{A'}$",0
