,A,group,Observed Y,distance,model,run_number
0,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4092092211588616,$X_2$,0
1,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3461441027206567,$X_2$,0
2,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6716432610984615,$X_2$,0
3,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.835980753811148,$X_2$,0
4,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4444739320819213,$X_2$,1
5,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.338297729665809,$X_2$,1
6,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7144791566754365,$X_2$,1
7,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.7586735260960378,$X_2$,1
8,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5575736402203564,$X_2$,2
9,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4543399629852694,$X_2$,2
10,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6549490731089334,$X_2$,2
11,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.8147216452596866,$X_2$,2
12,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.429092270753536,$X_2$,3
13,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.481017558828368,$X_2$,3
14,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8109890877460257,$X_2$,3
15,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.7630332458982103,$X_2$,3
16,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4909213158612538,$X_2$,4
17,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.325781878788116,$X_2$,4
18,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6948400037987197,$X_2$,4
19,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6872285190168688,$X_2$,4
20,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.443159931207304,$X_2$,5
21,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3418555781524577,$X_2$,5
22,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.708119899537534,$X_2$,5
23,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6729338203654067,$X_2$,5
24,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.680466709645677,$X_2$,6
25,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.289158344792439,$X_2$,6
